suburb_name,NH_geometry,f0_
Akaroa,POINT(148.314976635016 -41.308229072305),POINT(148.314976635016 -41.308229072305)
Nicholls Rivulet,POINT(147.104532414996 -43.1728002456258),POINT(147.104532414996 -43.1728002456258)
Brooklyn (Tas.),"LINESTRING(145.907453959886 -41.0725274544796, 145.907875530371 -41.0720891506867, 145.908297095235 -41.0716508453576)",POINT(145.907875530371 -41.0720891506867)
Black River (Tas.),"POLYGON((145.328876655039 -40.8518240140392, 145.31566259494 -40.8424800141538, 145.29804384506 -40.8588320140456, 145.302448530059 -40.8588320138972, 145.315662595013 -40.8564960141213, 145.324471965002 -40.8541600140948, 145.328876655039 -40.8518240140392))",POINT(145.314195016562 -40.8518065371712)
Railton,"POLYGON((146.421648750032 -41.3505262064211, 146.421648750024 -41.3403687064307, 146.412606249948 -41.3403687064322, 146.41260624996 -41.3505262064094, 146.421648750032 -41.3505262064211))",POINT(146.417127500011 -41.3454474128498)
Emu Heights (Tas.),"LINESTRING(145.917747474905 -41.0802191890157, 145.917747474844 -41.079516576057, 145.917747474783 -41.0788139630982)",POINT(145.917747474844 -41.079516576057)
Deloraine,"POLYGON((146.665428125006 -41.5301052006791, 146.650181874993 -41.5165685757589, 146.650181874975 -41.5301052006816, 146.665428125006 -41.5301052006791))",POINT(146.655263603975 -41.5255932161412)
Neika,"POLYGON((147.241660604992 -42.9543806283552, 147.238581820146 -42.9474681334379, 147.235503034876 -42.9463160485976, 147.232424245009 -42.9463160486287, 147.22934545504 -42.9463160486904, 147.226266664956 -42.9486202186546, 147.220109095023 -42.9543806285115, 147.241660604992 -42.9543806283552))",POINT(147.231933431667 -42.950952434806)
Tullah,"POLYGON((145.617263749955 -41.7439463438842, 145.617263749978 -41.7373458938917, 145.612421249981 -41.7373458939065, 145.617263749955 -41.7439463438842))",POINT(145.615649527693 -41.7395460667004)
Waratah (Tas.),"POLYGON((145.537270164998 -41.4437037345895, 145.534130134941 -41.4437037345863, 145.530990105075 -41.4437037345838, 145.527850074948 -41.4437037345987, 145.524710045062 -41.4437037345973, 145.530990105065 -41.4482112345583, 145.534130134962 -41.4482112345603, 145.537270164998 -41.4437037345895))",POINT(145.531618064623 -41.4455067576876)
Carlton (Tas.),"POLYGON((147.64103305998 -42.8696649670461, 147.641033059993 -42.8664713421362, 147.641033059963 -42.8632777122378, 147.64103305998 -42.8696649670461))",POINT(147.566548938166 -42.8664472427153)
Swan Bay (Tas.),POINT(147.034678434974 -41.3031546393508),POINT(147.034678434974 -41.3031546393508)
Lachlan,"POLYGON((147.049266290008 -42.8278068989819, 147.039658015012 -42.8216275989076, 147.030049739984 -42.8278068989924, 147.030049739994 -42.8339861989296, 147.039658014998 -42.8401654989465, 147.049266290008 -42.8278068989819))",POINT(147.038743104551 -42.8304552188819)
Gravelly Beach,"LINESTRING(146.973236749956 -41.2922816303339, 146.973236749966 -41.2911848054941, 146.973236749975 -41.2900879806542)",POINT(146.973236749966 -41.2911848054941)
Notley Hills,"POLYGON((146.928561163908 -41.3476986802645, 146.928561163223 -41.3474344396821, 146.928405691027 -41.3469059494327, 146.928250214975 -41.3463774654696, 146.928094740199 -41.3458489792098, 146.92793926074 -41.3458489791198, 146.927783784169 -41.3458489795518, 146.927472836538 -41.3461132189943, 146.927472836244 -41.3463774653902, 146.927939259545 -41.3471701951184, 146.928405690396 -41.3476986801119, 146.928561163908 -41.3476986802645))",POINT(146.928029699571 -41.3466797002018)
Blackwall (Tas.),POINT(146.968515180275 -41.3035857888849),POINT(146.968515180275 -41.3035857888849)
Chudleigh,POINT(146.485916419939 -41.5524350376042),POINT(146.485916419939 -41.5524350376042)
Travellers Rest,"POLYGON((147.089025209979 -41.493417728825, 147.086251034972 -41.4896564290194, 147.086251034989 -41.4934177288359, 147.089025209979 -41.493417728825))",POINT(147.087175741707 -41.4921639696725)
Deep Bay,POINT(147.107154149946 -43.2058622299348),POINT(147.107154149946 -43.2058622299348)
Quamby Brook,"POLYGON((146.685959635618 -41.5727620371673, 146.685959682216 -41.5727603369465, 146.685950545579 -41.5727690179669, 146.685951725201 -41.572769021838, 146.685953346771 -41.5727683254712, 146.685959635618 -41.5727620371673))",POINT(146.685955270821 -41.5727649139899)
Devonport,"POLYGON((146.358046059995 -41.1780812029692, 146.352239094969 -41.1737898230094, 146.346432130007 -41.1737898230019, 146.34643212997 -41.1866639530378, 146.358046059995 -41.1780812029692))",POINT(146.350580063807 -41.1788986623332)
Swansea (Tas.),"LINESTRING(148.07508117503 -42.1224784002935, 148.073324950011 -42.1224784136834, 148.071568724991 -42.1224784002931)",POINT(148.073324950011 -42.1224784136834)
Squeaking Point,"POLYGON((146.559043769939 -41.1920545692674, 146.559043770013 -41.1834384394424, 146.551868860062 -41.1871310642981, 146.551868860025 -41.1883619443558, 146.55665212999 -41.1920545692929, 146.559043769939 -41.1920545692674))",POINT(146.556297815033 -41.1880884210709)
Westwood (Tas.),POINT(147.06896238997 -41.497546878135),POINT(147.06896238997 -41.497546878135)
Rosebery (Tas.),POINT(145.54351783 -41.7744470602499),POINT(145.54351783 -41.7744470602499)
Elderslie (Tas.),"POLYGON((147.075793374931 -42.6032321270149, 147.075793374996 -42.6019392765841, 147.075793374821 -42.6015083256711, 147.074580925075 -42.6032321271271, 147.075793374931 -42.6032321270149))",POINT(147.075389227772 -42.6026575281361)
Lonnavale,"POLYGON((146.845376582391 -42.9649864424156, 146.845376582633 -42.964931104248, 146.845376581706 -42.964765058666, 146.845289157975 -42.9646543718803, 146.845201737958 -42.9645990302948, 146.845114321706 -42.9645990299666, 146.844852061519 -42.9645990293406, 146.844764635728 -42.9645990292785, 146.844764634935 -42.9646543702158, 146.844764638898 -42.9647650626329, 146.844852064372 -42.9648757601188, 146.844939477313 -42.9649311035903, 146.845114317628 -42.9649864425085, 146.845289160915 -42.964986443272, 146.845376582391 -42.9649864424156))",POINT(146.845083046392 -42.9647837371413)
Sassafras (Tas.),"LINESTRING(146.482546684995 -41.2793533524312, 146.482546685005 -41.273550664953, 146.482546685016 -41.2677479774747)",POINT(146.482546685005 -41.2735506649529)
Herdsmans Cove,"POLYGON((147.265581190075 -42.7521592278023, 147.261718434898 -42.7481474272546, 147.261718435021 -42.7491503775519, 147.263649809976 -42.7511562777728, 147.265581190075 -42.7521592278023))",POINT(147.263220562064 -42.7501533233954)
Rhyndaston,"POLYGON((147.386730311609 -42.4812126897641, 147.38663593451 -42.4812126897665, 147.386541559262 -42.4812126897704, 147.386730311609 -42.4812126897641))",POINT(147.386635932607 -42.4759229251442)
North Motton,"POLYGON((146.109324430026 -41.2267760530199, 146.109324430038 -41.2164037280242, 146.109324430029 -41.2060314030998, 146.109324430026 -41.2267760530199))",POINT(146.039773667224 -41.2163848440766)
Penguin,"POLYGON((146.07934109997 -41.1247659577959, 146.079341099979 -41.1155292228517, 146.06853690001 -41.11552922286, 146.068536900003 -41.124765957798, 146.07934109997 -41.1247659577959))",POINT(146.073938999893 -41.1201476081539)
Shearwater,"POLYGON((146.540504124945 -41.1616609713164, 146.540504124986 -41.159540796404, 146.537163375017 -41.1553004415052, 146.533822624973 -41.1553004414932, 146.533822625054 -41.1616609713406, 146.540504124945 -41.1616609713164))",POINT(146.536717907996 -41.1588340626407)
Maydena,POINT(146.630129814645 -42.7581320668892),POINT(146.630129814645 -42.7581320668892)
Cradle Mountain,"LINESTRING(145.931280345009 -41.5769624530055, 145.931280345011 -41.5831649529596, 145.931280345013 -41.5893674529136)",POINT(145.931280345011 -41.5831649529595)
Ellendale (Tas.),"POLYGON((146.730350869951 -42.6254166998143, 146.721276830033 -42.6152011998708, 146.721276830032 -42.6254166998078, 146.730350869951 -42.6254166998143))",POINT(146.72430134442 -42.6220116128302)
Cuckoo,"POLYGON((147.576942690017 -41.2064626255861, 147.57694268999 -41.2052738759546, 147.575406065098 -41.2040851256959, 147.573869434865 -41.2028963758498, 147.572332809998 -41.2017076260232, 147.570796185065 -41.2005188755767, 147.569259559888 -41.1993301258366, 147.567722935065 -41.1981413757675, 147.566186310006 -41.1981413758184, 147.566186309908 -41.1993301258415, 147.566186309959 -41.2005188756272, 147.566186310151 -41.2028963757521, 147.569259559962 -41.2052738759703, 147.573869434711 -41.2064626256824, 147.576942690017 -41.2064626255861))",POINT(147.570625322758 -41.2028885853691)
Westbury (Tas.),"LINESTRING(146.840239960011 -41.5271198218442, 146.835205590011 -41.5271199316206, 146.830171220012 -41.5271198218445)",POINT(146.835205590011 -41.5271199316206)
Claremont (Tas.),"POLYGON((147.249865315001 -42.7925466021912, 147.249865315 -42.7877163272598, 147.239419440005 -42.7877163272454, 147.239419439999 -42.7925466022107, 147.249865315001 -42.7925466021912))",POINT(147.244642377424 -42.7901315521013)
Mowbray (Tas.),"POLYGON((147.136325490003 -41.4049821385547, 147.130625035027 -41.4013861136602, 147.130625035024 -41.4049821384323, 147.136325490003 -41.4049821385547))",POINT(147.132525151779 -41.4037834946803)
Gardners Bay,"LINESTRING(147.099174499983 -43.1872968829041, 147.128785586007 -43.1778423848373, 147.158387499987 -43.1683802529416)",POINT(147.128785586007 -43.1778423848373)
Blackstone Heights,"POLYGON((147.089946065092 -41.4664374831891, 147.085641289975 -41.4572540329002, 147.08133650998 -41.4541928831248, 147.07703173496 -41.4541928829567, 147.081336509979 -41.4633763329754, 147.085641289985 -41.4664374830839, 147.089946065092 -41.4664374831891))",POINT(147.083488595302 -41.4603150372079)
White Beach,POINT(147.73540032502 -43.1104670630077),POINT(147.73540032502 -43.1104670630077)
Mount Rumney,"POLYGON((147.43349403508 -42.8499889337664, 147.428011859964 -42.8474360088727, 147.428011859967 -42.8576477138483, 147.43349403508 -42.8499889337664))",POINT(147.429839301886 -42.8516909145545)
Cradoc,"POLYGON((147.029789844964 -43.1197269465592, 147.034281654966 -43.1088437265259, 147.034281654995 -43.1034021117324, 147.025298029972 -43.1088437265992, 147.029789844964 -43.1197269465592))",POINT(147.030288995389 -43.1106576524838)
Irishtown (Tas.),POINT(145.146080629867 -40.9185234337383),POINT(145.146080629867 -40.9185234337383)
Grasstree Hill,"LINESTRING(147.360457500145 -42.7831249963091, 147.354560428864 -42.787625147616, 147.34866250012 -42.7921249963103)",POINT(147.354560428864 -42.787625147616)
Campania,POINT(147.424839570001 -42.6608433691168),POINT(147.424839570001 -42.6608433691168)
Togari,"POLYGON((144.909198939917 -40.9753142016403, 144.90919893995 -40.971074951565, 144.90919893995 -40.9689553267143, 144.905194814992 -40.9647160716744, 144.90119069001 -40.9625964465822, 144.897186564979 -40.9604768217677, 144.893182435003 -40.9604768217446, 144.889178309986 -40.960476821571, 144.885174184987 -40.960476821736, 144.881170060042 -40.960476821586, 144.881170060026 -40.9625964466363, 144.881170060027 -40.9668356965411, 144.881170060041 -40.9710749515821, 144.901190690041 -40.9753142016079, 144.909198939917 -40.9753142016403))",POINT(144.894807629531 -40.9677507319613)
Collinsvale,"LINESTRING(147.198506375025 -42.84056133173, 147.198506375019 -42.8388825816315, 147.198506375013 -42.837203831533)",POINT(147.198506375019 -42.8388825816315)
Orielton,POINT(147.55234547003 -42.7569171328262),POINT(147.55234547003 -42.7569171328262)
Chain Of Lagoons,"POLYGON((148.290196160273 -41.692034313398, 148.290708720006 -41.6908755886163, 148.29070871976 -41.6897168635709, 148.290196160304 -41.6873994084789, 148.289683594856 -41.6862406833717, 148.289171029927 -41.6850819583985, 148.288658470091 -41.6850819583811, 148.288145904814 -41.6862406832333, 148.28763334007 -41.6885581332581, 148.287120780838 -41.6908755885244, 148.287120780547 -41.6931930388307, 148.28865846936 -41.6931930389075, 148.290196160273 -41.692034313398))",POINT(148.288873904732 -41.689638437023)
Dover,"POLYGON((147.016814324991 -43.3178653932565, 147.016814324983 -43.3123528283733, 147.005475474994 -43.3178653932386, 147.016814324991 -43.3178653932565))",POINT(147.013034822486 -43.3160279958733)
Rokeby (Tas.),POINT(147.44135332502 -42.8992910729005),POINT(147.44135332502 -42.8992910729005)
Glenlusk,"POLYGON((147.206645380024 -42.8256058023254, 147.203494040107 -42.8206582023887, 147.200342704911 -42.8206582025041, 147.197191370013 -42.8206582023798, 147.19719136997 -42.8231320025895, 147.203494040091 -42.82807960274, 147.206645380024 -42.8256058023254))",POINT(147.201870531404 -42.8237317192524)
Sandfly,POINT(147.193957699934 -42.9903087553245),POINT(147.193957699934 -42.9903087553245)
Orford (Tas.),"POLYGON((147.874255500005 -42.5601682556371, 147.874255500062 -42.5502672557277, 147.87425550002 -42.5552177556365, 147.874255500005 -42.5601682556371))",POINT(147.798736357227 -42.5551929564214)
Wellington Park,"LINESTRING(147.255384375104 -42.9168721555216, 147.258106702061 -42.9066359228016, 147.260828125048 -42.8963996256019)",POINT(147.258106702061 -42.9066359228016)
Breadalbane (Tas.),"POLYGON((147.184981989942 -41.5197314811074, 147.186920664954 -41.5112846811664, 147.184981989981 -41.5112846811402, 147.183043314982 -41.5155080811236, 147.183043314993 -41.5197314811143, 147.184981989942 -41.5197314811074))",POINT(147.184723562574 -41.5155080138926)
Derwent Park,"POLYGON((147.297615934947 -42.8345493213009, 147.297615934958 -42.8315397815466, 147.297615934939 -42.8330445513667, 147.297615934947 -42.8345493213009))",POINT(147.261667467954 -42.8330389704637)
Coningham,"POLYGON((147.279762690005 -43.0789102545755, 147.279762690052 -43.0781237547721, 147.277497814975 -43.0765507550526, 147.27523293991 -43.0757642546878, 147.272968060052 -43.075764254729, 147.270703185123 -43.0757642547822, 147.270703185131 -43.0765507549857, 147.277497815064 -43.078910255046, 147.279762690005 -43.0789102545755))",POINT(147.275484516583 -43.0771770671878)
North Scottsdale,"POLYGON((147.626297175067 -41.0920229481912, 147.626297175008 -41.0825865581691, 147.622391525029 -41.082586558164, 147.618485874966 -41.0825865581432, 147.614580224984 -41.082586558156, 147.610674574987 -41.0825865581777, 147.606768925047 -41.0825865581436, 147.602863275007 -41.0825865581352, 147.598957624964 -41.0873047533318, 147.614580225008 -41.0967411432743, 147.622391524987 -41.0967411432605, 147.626297175067 -41.0920229481912))",POINT(147.614742659299 -41.0886809770075)
Preservation Bay,"POLYGON((146.049982914392 -41.1034662011313, 146.049982913567 -41.1033455995706, 146.049528159657 -41.1029837949398, 146.049300786228 -41.1028631904536, 146.049073415835 -41.1027425896963, 146.048846038933 -41.1026219894932, 146.048618660186 -41.1026219901332, 146.048391283448 -41.1028631908384, 146.048391283691 -41.1029837954651, 146.048618661022 -41.1031043984023, 146.049300785671 -41.1033455983522, 146.049755540562 -41.1034662011167, 146.049982914392 -41.1034662011313))",POINT(146.049133409291 -41.1030482825531)
Goulds Country,POINT(148.044075000052 -41.1828083624699),POINT(148.044075000052 -41.1828083624699)
Tunnack,"POLYGON((147.48729749997 -42.4836836782457, 147.487297499975 -42.4779070431574, 147.481032500015 -42.4663537682102, 147.46850250001 -42.4490238532937, 147.462237499974 -42.4432472182197, 147.455972500031 -42.4432472182286, 147.449707499999 -42.4432472182273, 147.443442499982 -42.4432472182293, 147.443442499982 -42.4490238532646, 147.443442499991 -42.4548004882113, 147.443442500012 -42.4605771282996, 147.443442500039 -42.4663537682063, 147.449707499994 -42.4721304081983, 147.468502500016 -42.4836836782308, 147.48729749997 -42.4836836782457))",POINT(147.463152811392 -42.4639603922549)
Taroona,"POLYGON((147.353695750027 -42.9428709964424, 147.35369574999 -42.9392249964812, 147.350050250059 -42.9428709964333, 147.346404750032 -42.9465169965063, 147.342759249907 -42.9501629963783, 147.346404750076 -42.9501629963544, 147.353695750027 -42.9428709964424))",POINT(147.349078388706 -42.9455446975472)
Mountain River,"POLYGON((147.135285484991 -42.9419174031386, 147.135285485025 -42.9352661881403, 147.129775395057 -42.9419174031461, 147.135285484991 -42.9419174031386))",POINT(147.133448854476 -42.9397003609707)
South Launceston,"POLYGON((147.152927340079 -41.4568209411918, 147.149663459847 -41.4511871862542, 147.146399580098 -41.4511871862786, 147.143135699875 -41.4511871862344, 147.143135699934 -41.4652715663954, 147.152927340079 -41.4568209411918))",POINT(147.146857744994 -41.4567715148149)
Ridgley,"POLYGON((145.843465000032 -41.1362633198737, 145.836802999961 -41.1362633198622, 145.830140999948 -41.1472040749775, 145.830140999963 -41.1526744499666, 145.836802999984 -41.1472040749865, 145.843465000032 -41.1362633198737))",POINT(145.835915180921 -41.1431923184273)
Shorewell Park,"POLYGON((145.882588034952 -41.0707854396647, 145.882588034981 -41.065309684679, 145.879656845032 -41.0625718099476, 145.879656844992 -41.0680475598029, 145.882588034952 -41.0707854396647))",POINT(145.881122419657 -41.0666786045911)
Forcett,"POLYGON((147.634315309996 -42.8301094891188, 147.62164718498 -42.8167089890664, 147.608979060002 -42.8167089890697, 147.621647184987 -42.830109489075, 147.634315309996 -42.8301094891188))",POINT(147.621646269752 -42.8234092297215)
Invermay (Tas.),"POLYGON((147.135738579991 -41.4283452214023, 147.135738580002 -41.4192756566666, 147.132241120043 -41.4222988464306, 147.132241120064 -41.4253220366178, 147.135738579991 -41.4283452214023))",POINT(147.134281304909 -41.4238104177863)
Queens Domain,"LINESTRING(147.318196905022 -42.8625256244594, 147.318196905034 -42.8637907494478, 147.318196905046 -42.8650558744361)",POINT(147.318196905034 -42.8637907494478)
New Town (Tas.),"POLYGON((147.311665624989 -42.861830598038, 147.307665474871 -42.8538928179702, 147.303665325075 -42.853892817963, 147.303665324967 -42.8591846728915, 147.307665474975 -42.861830598014, 147.311665624989 -42.861830598038))",POINT(147.306998671302 -42.8579719130779)
Cape Barren Island,"POLYGON((148.022309484822 -40.3904793303641, 148.026683404847 -40.373205775361, 148.026683405082 -40.3703268501925, 148.025954420168 -40.3703268503648, 148.025225434909 -40.3703268502041, 148.024496444822 -40.3703268501756, 148.023767455086 -40.3703268501747, 148.02303847024 -40.370326850296, 148.022309484927 -40.3732057753841, 148.021580494822 -40.3818425550956, 148.021580494821 -40.3904793303748, 148.022309484822 -40.3904793303641))",POINT(148.023659149867 -40.3783293904226)
Oaks,"POLYGON((146.975947469706 -41.5730500947917, 146.976208825043 -41.572071834237, 146.976470179768 -41.570604455431, 146.97647017977 -41.570115324166, 146.976470179557 -41.5696261943084, 146.976208824925 -41.5696261941901, 146.974902035415 -41.5715827049525, 146.974640679373 -41.572071834078, 146.974640680537 -41.5730500947845, 146.975947469706 -41.5730500947917))",POINT(146.975633844566 -41.5716424856505)
Turners Marsh,POINT(147.135963249961 -41.3032431199986),POINT(147.135963249961 -41.3032431199986)
Preston (Tas.),POINT(146.056448000024 -41.322480695685),POINT(146.056448000024 -41.322480695685)
Waddamana,"POLYGON((146.729570174983 -42.1569272252419, 146.729570174996 -42.1484651252936, 146.729570174986 -42.1400030302339, 146.714715410018 -42.1400030302302, 146.729570174983 -42.1569272252419))",POINT(146.724618145426 -42.1456446414702)
Howden,"POLYGON((147.308772500029 -43.0229488111719, 147.293077499895 -43.0164115564134, 147.289938500156 -43.019680181167, 147.293077499837 -43.0262174362112, 147.308772500029 -43.0229488111719))",POINT(147.297262690956 -43.0216778932704)
Bridgewater (Tas.),"LINESTRING(147.235244574968 -42.7391573885741, 147.239161749987 -42.73915745531, 147.243078925006 -42.7391573885587)",POINT(147.239161749987 -42.73915745531)
New Norfolk,"POLYGON((147.067346180005 -42.7833214758042, 147.067346179994 -42.7785561759947, 147.052938854994 -42.7737908758494, 147.052938855013 -42.7785561758114, 147.060142519966 -42.7833214758337, 147.067346180005 -42.7833214758042))",POINT(147.060142332814 -42.779191672461)
National Park,"POLYGON((146.722375544957 -42.686418585056, 146.722375545011 -42.6853607600065, 146.722375544971 -42.6843029352395, 146.722375544779 -42.6832451098025, 146.721194634995 -42.6832451097379, 146.720013720303 -42.6832451097386, 146.718832804854 -42.6832451097167, 146.716470979848 -42.686418585064, 146.714109155005 -42.6895920651951, 146.714109155065 -42.6906498900943, 146.715290064951 -42.6906498901059, 146.717651894983 -42.6895920652803, 146.721194634916 -42.6874764150548, 146.722375544957 -42.686418585056))",POINT(146.718647230156 -42.6867179404632)
Rosegarland,"POLYGON((146.949078345032 -42.7179751627803, 146.949078344964 -42.7128512878626, 146.940904354991 -42.6923557828148, 146.938179690039 -42.697479657823, 146.938179690005 -42.7077274128702, 146.940904354968 -42.712851287879, 146.946353680011 -42.7179751628525, 146.949078345032 -42.7179751627803))",POINT(146.943009302769 -42.7067179181384)
Lower Snug,"POLYGON((147.261863885031 -43.0773625017069, 147.261863885082 -43.074997501883, 147.258918995032 -43.0749975018966, 147.25597410502 -43.074997501855, 147.255974105085 -43.0773625017159, 147.261863885031 -43.0773625017069))",POINT(147.258918995187 -43.0761800222594)
Lenah Valley,"POLYGON((147.295015024961 -42.8675431854525, 147.295015024983 -42.8639638855724, 147.288047175025 -42.8639638855453, 147.281079325 -42.8639638855189, 147.295015024961 -42.8675431854525))",POINT(147.290369564767 -42.8651571028985)
Camena,"POLYGON((145.96683316838 -41.1667710050279, 145.966833168965 -41.1667557532566, 145.966833169549 -41.1667404486997, 145.966833166852 -41.1666946426366, 145.966696178987 -41.1666946331195, 145.966650520684 -41.1666946365903, 145.966513531988 -41.1667099084489, 145.966513532812 -41.1667251975389, 145.96651353512 -41.1667404632299, 145.966559188452 -41.1667710035602, 145.966604858455 -41.1667863064529, 145.966650519318 -41.1668015577267, 145.966741846774 -41.1668015582483, 145.966787513593 -41.1667863020828, 145.96683316838 -41.1667710050279))",POINT(145.966685656075 -41.1667434145706)
Simpsons Bay,"POLYGON((147.304266945332 -43.2945471690283, 147.304266946702 -43.2945029152748, 147.304266943637 -43.2943701281735, 147.304177776513 -43.2942815906761, 147.304088603647 -43.2942815939554, 147.303999437118 -43.2943258497739, 147.303999436399 -43.2943701270204, 147.303999437196 -43.2944143760301, 147.30399943884 -43.2944586389641, 147.304088601134 -43.294502918339, 147.304177775253 -43.2945471697163, 147.304266945332 -43.2945471690283))",POINT(147.304139850932 -43.294411329574)
Brooks Bay,"POLYGON((147.029487939911 -43.2374193745109, 147.029487940006 -43.2361181249781, 147.028104215161 -43.2335156247995, 147.026720489945 -43.2322143745561, 147.025336765197 -43.2309131244743, 147.021185584572 -43.2283106252272, 147.019801860372 -43.228310624943, 147.019801860275 -43.2296118752208, 147.028104215153 -43.2374193745037, 147.029487939911 -43.2374193745109))",POINT(147.024943121383 -43.2327119090024)
Macquarie Plains,"POLYGON((146.928088999908 -42.7015431005234, 146.928089000059 -42.6999783007149, 146.928088999987 -42.6991958998395, 146.928088999763 -42.6968487005489, 146.927011799994 -42.6968487006204, 146.92485740016 -42.6976311006189, 146.921625800011 -42.6991958997167, 146.920548600152 -42.6999783007865, 146.920548600264 -42.7007607007323, 146.924857400119 -42.7023255001565, 146.927011799906 -42.7023255004151, 146.928088999908 -42.7015431005234))",POINT(146.925079188626 -42.6998363920529)
Moogara,"POLYGON((146.903978999914 -42.8057037456889, 146.906623000121 -42.7993752459143, 146.90794499971 -42.7951562456448, 146.907944999783 -42.7930467463818, 146.90662300008 -42.793046746392, 146.905301000229 -42.7951562456981, 146.903978999944 -42.7972657458728, 146.902656999785 -42.7993752458017, 146.901335000096 -42.8014847459431, 146.900013000046 -42.8035942461632, 146.898690999986 -42.8057037456949, 146.898691000063 -42.8078132459816, 146.901335000131 -42.8078132459544, 146.903978999914 -42.8057037456889))",POINT(146.903549608806 -42.8013263252942)
Fitzgerald (Tas.),"POLYGON((146.642023116746 -42.7501776838072, 146.642023112169 -42.750166562353, 146.641989380834 -42.7501665581793, 146.64195562859 -42.7501665607524, 146.641854375308 -42.7501776736993, 146.641786879071 -42.7502222107115, 146.6417868799 -42.7502444271111, 146.641820629626 -42.750244421052, 146.642023116746 -42.7501776838072))",POINT(146.641890758181 -42.7501999984439)
Leslie Vale,"POLYGON((147.243116425029 -42.9659765430884, 147.231957725032 -42.9620518578613, 147.231957725051 -42.9659765430484, 147.243116425029 -42.9659765430884))",POINT(147.235677212756 -42.9646684349085)
Rosetta,"POLYGON((147.259605639993 -42.8236979819619, 147.259605640056 -42.8221095667846, 147.259605639978 -42.8189327419855, 147.255864614897 -42.8173443267355, 147.255864614906 -42.8221095669727, 147.259605639993 -42.8236979819619))",POINT(147.257735111361 -42.8205211423663)
West Kentish,"LINESTRING(146.262242939921 -41.4081058423117, 146.247813864222 -41.4007386359315, 146.233388060005 -41.3933696274083)",POINT(146.247813864222 -41.4007386359314)
Freycinet,"POLYGON((148.296646064964 -42.1248238776263, 148.296646062505 -42.1247156461708, 148.296514441655 -42.124066221345, 148.296470558927 -42.1240662213554, 148.296338933861 -42.1247156450556, 148.296338937267 -42.1248238784959, 148.296602190366 -42.1248238779928, 148.296646064964 -42.1248238776263))",POINT(148.296492502821 -42.1245393159053)
Rosevale (Tas.),"LINESTRING(146.924765939948 -41.4019083697962, 146.912711489912 -41.4093994990324, 146.900654259907 -41.4168893698585)",POINT(146.912711489912 -41.4093994990324)
Dolphin Sands,POINT(148.082436935058 -42.1001482137318),POINT(148.082436935058 -42.1001482137318)
Clifton Beach (Tas.),"POLYGON((147.541715664994 -42.9645846071722, 147.510199129904 -42.9682199922082, 147.510199129913 -42.9718553770162, 147.510199129933 -42.9754907671303, 147.515451885009 -42.9827615471726, 147.525957400008 -42.9900323173037, 147.541715664994 -42.9645846071722))",POINT(147.524244517649 -42.9751043853737)
Triabunna,"POLYGON((147.920683214927 -42.511883266071, 147.915433540026 -42.5001395511331, 147.910183860032 -42.511883266065, 147.920683214927 -42.511883266071))",POINT(147.91543353829 -42.5079687743348)
Powranna,"POLYGON((147.274412469926 -41.6806825233547, 147.274412469953 -41.6788808583981, 147.27441246993 -41.677079193316, 147.274412469832 -41.6752775334086, 147.271775785156 -41.6752775334211, 147.269139095056 -41.6770791933691, 147.266502404955 -41.6788808581907, 147.263865715078 -41.6806825233101, 147.261229030077 -41.6824841833986, 147.258592344846 -41.6860875131092, 147.258592344966 -41.6878891734963, 147.263865715035 -41.6860875131956, 147.271775785054 -41.6824841833413, 147.274412469926 -41.6806825233547))",POINT(147.267405369024 -41.681429133956)
Calder,"POLYGON((145.64267325005 -41.0778687105523, 145.65778875001 -41.0070005309978, 145.642673250003 -41.0542459807219, 145.637634749948 -41.0778687105519, 145.64267325005 -41.0778687105523))",POINT(145.646036370363 -41.0522728601775)
Flowerdale (Tas.),POINT(145.688339060002 -40.9700723506904),POINT(145.688339060002 -40.9700723506904)
Penna,"POLYGON((147.523688414934 -42.7777307454904, 147.490649785043 -42.792858045389, 147.497257510017 -42.792858045492, 147.523688414934 -42.7777307454904))",POINT(147.503866851207 -42.7878164982953)
Bellerive,"POLYGON((147.379485915094 -42.8756578262016, 147.375911884879 -42.8708428011751, 147.372337860012 -42.8684352860196, 147.368763835037 -42.8708428011125, 147.36876383503 -42.8732503110352, 147.36876383507 -42.8756578261131, 147.379485915094 -42.8756578262016))",POINT(147.373132052411 -42.8728490948299)
Forth,POINT(146.247069374987 -41.1903654228419),POINT(146.247069374987 -41.1903654228419)
Glenorchy (Tas.),"POLYGON((147.285450014957 -42.8326457867363, 147.279180685051 -42.8326457867429, 147.272911359934 -42.8326457867352, 147.266642035035 -42.8381614617033, 147.26664203499 -42.8436771417077, 147.266642034983 -42.849192816718, 147.285450014957 -42.8326457867363))",POINT(147.273434543057 -42.8386212869649)
Sulphur Creek,"POLYGON((146.028394460055 -41.0954695711014, 146.024472095013 -41.0914525211713, 146.020549729987 -41.0914525211839, 146.016627370023 -41.0914525211824, 146.024472095026 -41.0954695711107, 146.028394460055 -41.0954695711014))",POINT(146.023164497343 -41.0932378979952)
Promised Land,POINT(146.215658440179 -41.4198306255441),POINT(146.215658440179 -41.4198306255441)
Wilmot,POINT(146.172943749966 -41.3925602274132),POINT(146.172943749966 -41.3925602274132)
Sorell Creek,POINT(147.101831750065 -42.7836300835068),POINT(147.101831750065 -42.7836300835068)
