suburb_name,NH_geometry,f0_
Holwell,"POLYGON((146.796356250048 -41.2942562505735, 146.79635625014 -41.2936887508292, 146.795508750455 -41.2931212499426, 146.794661249591 -41.2925537505014, 146.793813750311 -41.2919862504428, 146.792966249973 -41.291418750332, 146.792118749938 -41.2908512502141, 146.791271250089 -41.2902837505131, 146.790423749716 -41.290283750364, 146.790423749881 -41.2908512500471, 146.795508750237 -41.2942562506608, 146.796356250048 -41.2942562505735))",POINT(146.793389932374 -41.292270005807)
Rose Bay (Tas.),POINT(147.360067074936 -42.8557607504706),POINT(147.360067074936 -42.8557607504706)
Somerset (Tas.),"LINESTRING(145.825942285025 -41.0413423544654, 145.830418090011 -41.0413424410395, 145.834893894997 -41.0413423544605)",POINT(145.830418090011 -41.0413424410395)
Hagley,POINT(146.89985938501 -41.5231269958287),POINT(146.89985938501 -41.5231269958287)
Police Point,"POLYGON((147.042351367118 -43.2452489316079, 147.042351352597 -43.2452445685503, 147.042285126407 -43.2452233371731, 147.042271877484 -43.2452191066266, 147.042258637072 -43.2452191088223, 147.042258610783 -43.245236074488, 147.042285110832 -43.2452404176011, 147.042338115992 -43.2452489160829, 147.042351367118 -43.2452489316079))",POINT(147.04229696787 -43.2452348823448)
Douglas River,"POLYGON((148.258784399982 -41.8128393598637, 148.258784401 -41.812708335271, 148.258784401651 -41.8125773103007, 148.258608999365 -41.812577311318, 148.258433599207 -41.8127083342102, 148.258082798241 -41.8129703857117, 148.257556600006 -41.8133634644089, 148.257556599215 -41.8134944877151, 148.257907400119 -41.8134944871535, 148.258258200921 -41.8132324418689, 148.258433598829 -41.8131014170213, 148.258784399982 -41.8128393598637))",POINT(148.258209217845 -41.8130648182119)
Mornington (Tas.),POINT(147.382091390016 -42.8624424178395),POINT(147.382091390016 -42.8624424178395)
Stowport,"POLYGON((145.917279250027 -41.1337002125396, 145.929084249995 -41.1106341126208, 145.929084249996 -41.0875680126732, 145.923181749993 -41.07987931267, 145.917279249941 -41.1183228126165, 145.917279250027 -41.1337002125396))",POINT(145.923428488594 -41.1055073689127)
Honeywood,"POLYGON((147.288986125035 -42.7302487139637, 147.288986125034 -42.7274417487074, 147.268179925001 -42.7302487139346, 147.288986125035 -42.7302487139637))",POINT(147.282050829585 -42.7293134771598)
Smithton,"LINESTRING(145.127124065011 -40.8346996233091, 145.127124065012 -40.8403694982809, 145.127124065014 -40.8460393732527)",POINT(145.127124065012 -40.8403694982809)
